Rpre,Lpre,Qpre,Rdata,Ldata,Qdata,f
564.4263,4.889275,5.4427347,565.0976,4.941847,5.4947224,100.0
9.106506,7.1020937,4.900207,9.0914135,7.1989117,4.9752545,1.0
144.1458,6.8592763,7.6989822,142.70793,6.8915696,7.813165,25.749998
447.42267,6.5798044,4.666232,442.93176,6.4947486,4.6526113,50.499992
822.25525,6.09031,3.5020242,818.7259,6.0597525,3.4994738,75.25001
1203.731,5.6064744,2.9264443,1217.0012,5.6515713,2.917817,100.0
6.910872,3.8137603,3.4673717,7.062089,3.8386407,3.4152627,1.0
21.488281,3.755708,28.277887,20.760483,3.7784128,29.446184,25.749998
52.114788,3.7474406,22.81629,52.557804,3.763819,22.722845,50.499992
100.8296,3.72025,17.444983,102.31288,3.74659,17.313795,75.25001
166.08824,3.7046566,14.014866,168.62036,3.7255201,13.88215,100.0
5.264164,3.7233546,4.444111,5.3343925,3.7983005,4.473879,1.0
19.335102,3.7190154,31.11992,18.515585,3.744221,32.717583,25.749998
49.38001,3.7082028,23.82778,49.688255,3.7305427,23.822622,50.499992
97.85227,3.6825345,17.793543,98.58325,3.7138524,17.811804,75.25001
163.09933,3.6703143,14.139402,163.7822,3.6932495,14.168432,100.0
13.153034,5.3532667,2.5572474,13.171198,5.446359,2.59813,1.0
64.90656,5.251275,13.089803,65.40347,5.2987986,13.107918,25.749998
183.90282,5.151462,8.88819,186.2612,5.188158,8.838162,50.499992
354.87094,5.0528994,6.732196,356.44748,5.0551734,6.705433,75.25001
554.61707,4.9398932,5.596342,557.2058,4.9161463,5.543565,100.0
7.8182993,9.430261,7.578637,7.774237,9.609827,7.7667193,1.0
335.94934,8.482256,4.085024,337.9582,8.517716,4.0777197,25.749998
875.9568,7.3798056,2.673213,876.4197,7.325834,2.6522608,50.499992
1400.2075,6.2548137,2.1120706,1424.7058,6.368743,2.1135614,75.25001
1830.1263,5.5380874,1.9013349,1909.8619,5.607883,1.8449169,100.0
13.080869,4.3404894,2.0848844,13.171733,4.3196,2.0605376,1.0
36.057182,4.227624,18.969742,35.843502,4.180029,18.868006,25.749998
81.041275,4.1584125,16.281439,81.44945,4.146699,16.154202,50.499992
149.25734,4.0788655,12.920823,150.1135,4.1132126,12.955307,75.25001
236.8427,4.0228424,10.672177,238.97054,4.075473,10.715527,100.0
13.041502,4.2980456,2.070729,13.1228895,4.251498,2.0355997,1.0
35.20701,4.1829658,19.222605,34.907574,4.1315665,19.14927,25.749998
79.22709,4.1184053,16.49403,79.25812,4.099813,16.413137,50.499992
145.87999,4.045699,13.112468,146.17656,4.0675917,13.156673,75.25001
231.2388,3.995831,10.857413,232.87314,4.0310993,10.8763685,100.0
13.199611,4.1055202,1.954281,13.164631,4.149263,1.9803507,1.0
32.222557,4.020415,20.186815,32.9403,4.009339,19.692568,25.749998
69.303696,3.9751434,18.199854,70.286125,3.981773,17.97538,50.499992
126.17476,3.9059634,14.636668,126.615746,3.957615,14.77856,75.25001
200.78883,3.8545318,12.061803,200.69884,3.9313724,12.307761,100.0
10.498982,4.5354943,2.7142963,10.508165,4.581792,2.7396076,1.0
38.402016,4.5408187,19.130974,37.61304,4.510611,19.402338,25.749998
105.664474,4.488044,13.477194,104.28248,4.4736485,13.611996,50.499992
211.66379,4.425317,9.885175,207.06288,4.424463,10.102867,75.25001
344.01898,4.375855,7.992092,340.01102,4.3644624,8.0652485,100.0
10.317693,4.084892,2.4875844,10.486834,4.0551443,2.4296396,1.0
29.007326,4.004772,22.337109,27.855646,3.9951813,23.204937,25.749998
69.90266,3.97452,18.041067,69.000496,3.9735863,18.272652,50.499992
133.94618,3.9354668,13.891605,132.67932,3.9464574,14.063406,75.25001
216.8875,3.9149213,11.341447,215.945,3.9134564,11.386678,100.0
6.931537,6.7426414,6.111958,6.8793564,6.7511086,6.166051,1.0
118.53604,6.501816,8.874448,117.49189,6.5038657,8.956139,25.749998
372.03918,6.246665,5.327589,370.37817,6.192284,5.304896,50.499992
698.1316,5.8601623,3.968796,695.12006,5.845489,3.9760084,75.25001
1042.6726,5.460178,3.2903242,1049.7627,5.51452,3.300627,100.0
6.070732,8.969193,9.283078,5.9518385,9.07875,9.584174,1.0
292.32535,8.277073,4.5810723,298.2097,8.318779,4.5133076,25.749998
822.5337,7.22629,2.7876167,834.4539,7.20635,2.740212,50.499992
1353.7886,6.150274,2.14798,1373.5795,6.2569156,2.1537383,75.25001
1793.8234,5.454253,1.9104502,1847.0544,5.5136275,1.8755887,100.0
10.663055,4.634973,2.731149,10.567785,4.659689,2.7704659,1.0
40.485973,4.6157956,18.44586,38.770348,4.571608,19.077715,25.749998
111.374855,4.5603113,12.992083,107.612816,4.532632,13.364653,50.499992
223.35661,4.493892,9.512841,213.5488,4.4812336,9.921717,75.25001
363.66898,4.4405375,7.6720095,350.37802,4.4187646,7.923991,100.0
12.990863,3.5158305,1.7004735,13.07616,3.4960704,1.679886,1.0
23.696898,3.4056652,23.25237,25.175417,3.3945527,21.815388,25.749998
43.278065,3.3903666,24.857073,44.277885,3.3766196,24.197273,50.499992
71.28394,3.3551803,22.25413,72.16881,3.3646307,22.043175,75.25001
107.31914,3.3270006,19.47851,108.80643,3.353407,19.364738,100.0
9.486162,9.163744,6.069632,9.400927,9.20989,6.155506,1.0
309.68073,8.470825,4.425564,305.01364,8.390757,4.4508104,25.749998
837.38556,7.3526444,2.7860525,841.22327,7.271615,2.742779,50.499992
1363.0461,6.252491,2.1688478,1379.579,6.3220506,2.166695,75.25001
1799.547,5.542112,1.9350494,1852.518,5.5797234,1.8924748,100.0
5.486788,5.452443,6.243855,5.4262824,5.454505,6.315865,1.0
60.844482,5.2792764,14.038156,60.329784,5.3561206,14.36401,25.749998
197.44385,5.2088766,8.37089,195.4476,5.2320914,8.494077,50.499992
391.26163,5.13056,6.1998897,383.39075,5.0777426,6.2620335,75.25001
617.28406,4.999504,5.0888767,602.10144,4.9190707,5.1332607,100.0
13.195798,6.5003514,3.0951452,13.288555,6.695135,3.1656396,1.0
117.19238,6.3176365,8.721923,120.41678,6.437225,8.64906,25.749998
