tCu,wCu,tLamCore,Nlam,AlN,tSu,freq,Q,R,L
20,250,150,12,15,8,1.0,5.99862586313749,5.36408955550619,5.1211550776765
20,250,150,12,15,8,25.75,16.246175416126,50.2299419927514,5.04378671076622
20,250,150,12,15,8,50.5,9.6933366585198,162.069940378412,4.95113219722824
20,250,150,12,15,8,75.25,7.10355519190024,321.594949562894,4.83168492711056
20,250,150,12,15,8,100.0,5.78322493494529,511.096282712321,4.70427756278693
20,100,350,8,15,6,1.0,3.53261236316488,13.2725456189926,7.46225941971617
20,100,350,8,15,6,25.75,7.7089530699074,150.041204140286,7.14905833676669
20,100,350,8,15,6,50.5,4.95492489968495,430.945290527144,6.72958013353473
20,100,350,8,15,6,75.25,3.88040708971659,771.617776346289,6.33276162813269
20,100,350,8,15,6,100.0,3.2951306630127,1140.26205566779,5.97994851306943
15,200,100,12,35,4,1.0,2.9109149582697,8.81968956364795,4.08604314897126
15,200,100,12,35,4,25.75,23.7587695532698,27.0646897418316,3.97438464523741
15,200,100,12,35,4,50.5,19.5512377435053,64.1257691367355,3.95125990433908
15,200,100,12,35,4,75.25,15.3583068326901,120.959610268879,3.92913857522746
15,200,100,12,35,4,100.0,12.4969638101267,196.284895228524,3.90401541928494
20,200,150,32,20,2,1.0,8.42906198593731,7.5651031906177,10.1487892854067
20,200,150,32,20,2,25.75,3.60478808062854,401.59423174453303,8.94767297540296
20,200,150,32,20,2,50.5,2.2065351287065,1053.26112863057,7.3244607486449
20,200,150,32,20,2,75.25,1.78806972472891,1609.73931647528,6.08770541466868
20,200,150,32,20,2,100.0,1.62162429498369,2032.1361631330901,5.24473051763418
10,200,200,12,15,6,1.0,3.10316137596229,13.273110904103,6.55537010016424
10,200,200,12,15,6,25.75,9.03989248155484,113.021588413431,6.31491588318134
10,200,200,12,15,6,50.5,5.75048264291411,332.961550328625,6.03430330417411
10,200,200,12,15,6,75.25,4.43452092462166,612.097463595956,5.74091234289956
10,200,200,12,15,6,100.0,3.7350186096674,920.363228203068,5.47106860124596
10,200,550,16,20,2,1.0,6.19286823599595,17.9348515947173,17.6770487146563
10,200,550,16,20,2,25.75,1.49819816803795,1025.87646689091,9.49964174723204
10,200,550,16,20,2,50.5,1.28318482119009,1579.67644953711,6.3883118852366
10,200,550,16,20,2,75.25,1.31782057539831,1886.94820255267,5.25932356224854
10,200,550,16,20,2,100.0,1.39050409941034,2124.93941487027,4.70260993894202
10,200,450,8,15,6,1.0,3.99973863087489,13.5863463787137,8.64877157152978
10,200,450,8,15,6,25.75,5.1240298757822,251.16171805176702,7.95441044463579
10,200,450,8,15,6,50.5,3.33133190114315,679.695834747954,7.13610556098871
10,200,450,8,15,6,75.25,2.63817772127553,1155.32591705544,6.4464733517778
10,200,450,8,15,6,100.0,2.2611182714818,1627.61599603889,5.8572715711477
15,200,250,24,20,2,1.0,7.44366348109966,10.4631879747961,12.3956952431237
15,200,250,24,20,2,25.75,2.48250826838102,632.874812530612,9.71071959444449
15,200,250,24,20,2,50.5,1.67742900001169,1357.56821772647,7.17686145625976
15,200,250,24,20,2,75.25,1.47792490979805,1840.46302199229,5.75298302505459
15,200,250,24,20,2,100.0,1.43355318176771,2166.6013043267803,4.94325416423843
40,200,100,16,15,6,1.0,8.84389227090866,3.44765200578448,4.85273972293949
40,200,100,16,15,6,25.75,18.656883051278,41.2718443103869,4.75922091033744
40,200,100,16,15,6,50.5,11.1493207128021,133.383893030367,4.6868445633347
40,200,100,16,15,6,75.25,8.14032914007075,266.864956505067,4.59459399371722
40,200,100,16,15,6,100.0,6.59140802202326,428.380865411464,4.49395161006619
15,150,100,16,15,6,1.0,2.88238884244438,11.7119238756523,5.37280329201235
15,150,100,16,15,6,25.75,14.2571144647268,59.1905437986651,5.21587127417844
15,150,100,16,15,6,50.5,9.8955682325359,164.222370155963,5.12155460078437
15,150,100,16,15,6,75.25,7.54005867681252,314.294853770135,5.0121680403115
15,150,100,16,15,6,100.0,6.21958330537227,494.566323808646,4.89560040103346
10,250,250,12,20,10,1.0,4.06588309723136,10.6797783329694,6.91094215486217
10,250,250,12,20,10,25.75,7.93888245810836,136.305642069874,6.68830551511733
10,250,250,12,20,10,50.5,4.71113216758584,425.406892186404,6.31623912599914
10,250,250,12,20,10,75.25,3.53130840359856,790.077307859144,5.90090827236746
